City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
326,sungaipenuh,-2.0833,101.3833,70.05,85,100,1.12,ID,1619757887
327,mao,39.8885,4.2658,59.0,94,75,5.75,ES,1619757856
328,antalaha,-14.9003,50.2788,79.86,75,26,6.87,MG,1619757825
329,bandarbeyla,9.4942,50.8122,84.45,68,18,5.17,SO,1619757888
330,casas grandes,30.3667,-107.95,48.31,70,42,3.24,MX,1619757888
331,cabo san lucas,22.8909,-109.9124,71.01,53,0,8.19,MX,1619757682
332,turayf,31.6725,38.6637,71.6,37,0,9.22,SA,1619757889
333,nizwa,22.9333,57.5333,83.66,35,100,10.04,OM,1619757889
334,quatre cocos,-20.2078,57.7625,80.01,83,40,12.66,MU,1619757754
335,carutapera,-1.195,-46.02,74.25,94,98,3.65,BR,1619757890
336,port hedland,-20.3167,118.5667,95.0,24,0,13.8,AU,1619757890
337,kavaratti,10.5669,72.642,84.58,73,21,5.39,IN,1619757891
338,ilhabela,-23.7781,-45.3581,68.74,79,70,3.51,BR,1619757891
339,mercedes,-34.6515,-59.4307,55.0,85,0,5.01,AR,1619757891
340,xichang,27.8964,102.2634,79.36,29,100,2.3,CN,1619757892
341,talnakh,69.4865,88.3972,31.95,90,49,1.81,RU,1619757797
342,honiara,-9.4333,159.95,82.54,78,33,3.8,SB,1619757893
343,norman wells,65.282,-126.8329,44.6,29,40,4.61,CA,1619757703
344,neiafu,-18.65,-173.9833,82.4,83,75,8.05,TO,1619757893
345,port hardy,50.6996,-127.4199,50.0,100,90,2.3,CA,1619757828
346,kudahuvadhoo,2.6708,72.8944,83.41,70,45,0.27,MV,1619757749
347,fortuna,40.5982,-124.1573,48.99,87,1,3.69,US,1619757733
348,vanimo,-2.6741,141.3028,83.57,81,90,9.04,PG,1619757895
349,kidal,18.4411,1.4078,84.4,12,15,3.13,ML,1619757896
350,muros,42.7762,-9.0603,42.01,95,8,7.83,ES,1619757897
351,raudeberg,61.9875,5.1352,39.99,76,17,15.93,NO,1619757791
352,marzuq,14.4,46.4667,74.07,56,97,3.06,YE,1619757898
353,sisimiut,66.9395,-53.6735,34.79,78,65,4.54,GL,1619757898
354,hobyo,5.3505,48.5268,85.59,65,87,6.82,SO,1619757899
355,coahuayana,18.7333,-103.6833,71.91,91,31,1.79,MX,1619757899
356,westport,41.1415,-73.3579,66.99,88,75,5.75,US,1619757807
357,toktogul,41.8708,72.9402,68.65,43,0,0.54,KG,1619757900
358,pasil,17.3833,121.1333,83.71,51,23,2.15,PH,1619757900
359,madimba,-10.4,40.3333,77.05,89,85,7.85,TZ,1619757900
360,quelimane,-17.8786,36.8883,73.4,94,40,2.57,MZ,1619757901
361,manjacaze,-24.7117,33.8828,67.55,78,0,5.46,MZ,1619757903
362,kazachinskoye,57.6953,93.2761,42.03,94,100,6.78,RU,1619757904
